city,Annee,Mois,temperature,wind_speed,humidity,wetbulb_temperature,precipitation,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),climate_region
Casablanca - Settat,2023,1,13.874462365591398,10.618817204301076,69.95161290322581,50.99302681484523,19.85,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.5244076024267184,1.1893079231471182,1.6062163260136468,0.3972,Savana
Casablanca - Settat,2023,2,13.871279761904763,10.8875,69.66369047619048,50.90309599841422,104.98,0.0053746436030833915,0.0053746436030833915,8535388.927820604,31551506.65732306,4002803.0833917325,0.0,13108930.435038548,508367312.577435,940758543.3216542,44325157.67344079,199433777.1548704,251999999.9999999,44325157.67344079,0.0,1.5233200640610611,1.1892160011582429,1.6062163260136468,0.39720000000000005,Savana
Casablanca - Settat,2023,3,16.40416666666667,11.595698924731185,72.59274193548387,55.59800030326211,2.66,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.5746882067873302,1.208594830632097,1.6062163260136468,0.3972,Savana
Casablanca - Settat,2023,4,19.34541666666667,12.69125,66.04583333333333,58.970058506792846,14.15,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.6055199243485443,1.2388600562170968,1.6062163260136468,0.3972,Savana
Casablanca - Settat,2023,5,20.06787634408602,12.35981182795699,68.72043010752688,60.94630387783503,25.400000000000002,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.6238529964483233,1.2558865094841434,1.6062163260136468,0.3972,Savana
Casablanca - Settat,2023,6,23.831805555555558,11.709861111111111,68.67916666666666,67.16235448948076,4.1000000000000005,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.6643764637269272,1.3556570796491696,1.6062163260136468,0.3972,Savana
Casablanca - Settat,2023,7,24.510752688172044,12.361693548387096,69.27016129032258,68.46819210335003,0.1,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.6721511850468045,1.3786068693800906,1.6062163260136468,0.3972,Savana
Casablanca - Settat,2023,8,25.23,12.633541666666668,66.8375,69.0134819584059,0.1,0.003839031145059565,0.003839031145059565,6096706.377014717,22536790.46951647,2859145.059565523,0.0,9363521.739313249,363119508.9838821,671970388.0868958,31660826.909600563,142452697.96776456,179999999.99999994,31660826.909600563,0.0,1.675056888631153,1.3891092213646419,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2022,8,34.547222222222224,14.832291666666666,16.03472222222222,62.99018852448757,0.1,0.0023034186870357393,0.0023034186870357393,3658023.8262088303,13522074.281709881,1715487.035739314,0.0,5618113.043587949,217871705.3903293,403182232.8521375,18996496.14576034,85471618.78065874,107999999.99999997,18996496.14576034,0.0,1.638580781507497,1.2849080843974807,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2022,9,30.19597222222222,14.910277777777777,23.1,61.07538105874064,8.8,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.6247396720856155,1.2578363912023096,1.6062163260136468,0.3972,Savana
